,report_date,total_purchase_amtsum,total_purchase_amtcount,total_redeem_amtsum,total_redeem_amtcount
40,2014-04-11,237829882.0,10074.0,277077434.0,10074.0
41,2014-04-12,177642053.0,10066.0,123295320.0,10066.0
42,2014-04-13,208172985.0,10138.0,178934722.0,10138.0
43,2014-04-14,309853269.0,10165.0,415986984.0,10165.0
44,2014-04-15,428681231.0,10181.0,285293076.0,10181.0
45,2014-04-16,387847838.0,10206.0,255914640.0,10206.0
46,2014-04-17,355792647.0,10215.0,265341592.0,10215.0
47,2014-04-18,239300383.0,10251.0,225952909.0,10251.0
48,2014-04-19,268729366.0,10263.0,146374940.0,10263.0
49,2014-04-20,191259529.0,10280.0,161057781.0,10280.0
50,2014-04-21,301134667.0,10318.0,295635256.0,10318.0
51,2014-04-22,285248757.0,10304.0,268810141.0,10304.0
52,2014-04-23,313677307.0,10330.0,278470936.0,10330.0
53,2014-04-24,318358891.0,10373.0,224536754.0,10373.0
54,2014-04-25,220927432.0,10409.0,227764292.0,10409.0
55,2014-04-26,151625415.0,10421.0,158122962.0,10421.0
56,2014-04-27,146837951.0,10446.0,191915377.0,10446.0
57,2014-04-28,324937272.0,10484.0,327724735.0,10484.0
58,2014-04-29,330607104.0,10457.0,307578349.0,10457.0
59,2014-04-30,260091330.0,10492.0,281835975.0,10492.0
60,2014-05-01,193045106.0,10513.0,143362755.0,10513.0
61,2014-05-02,125336258.0,10516.0,121222064.0,10516.0
62,2014-05-03,185094488.0,10526.0,199568043.0,10526.0
63,2014-05-04,303087562.0,10555.0,413222034.0,10555.0
64,2014-05-05,370924149.0,10612.0,309330781.0,10612.0
65,2014-05-06,318002728.0,10624.0,341108696.0,10624.0
66,2014-05-07,417327518.0,10656.0,239372999.0,10656.0
67,2014-05-08,392838756.0,10671.0,273187499.0,10671.0
68,2014-05-09,281479009.0,10715.0,247743971.0,10715.0
69,2014-05-10,287240171.0,10705.0,147248328.0,10705.0
70,2014-05-11,182424063.0,10753.0,152945581.0,10753.0
71,2014-05-12,325108597.0,10767.0,293952908.0,10767.0
72,2014-05-13,275241493.0,10788.0,257918375.0,10788.0
73,2014-05-14,305474522.0,10790.0,316225442.0,10790.0
74,2014-05-15,313367089.0,10824.0,238307643.0,10824.0
75,2014-05-16,231967423.0,10849.0,282094916.0,10849.0
76,2014-05-17,170983868.0,10868.0,145854372.0,10868.0
77,2014-05-18,164419642.0,10874.0,153440019.0,10874.0
78,2014-05-19,259077930.0,10914.0,293791406.0,10914.0
79,2014-05-20,453955303.0,10930.0,260040720.0,10930.0
80,2014-05-21,297799722.0,10971.0,250223726.0,10971.0
81,2014-05-22,344636549.0,10999.0,251108485.0,10999.0
82,2014-05-23,249546195.0,11029.0,229000787.0,11029.0
83,2014-05-24,160073254.0,11039.0,154409868.0,11039.0
84,2014-05-25,166943526.0,11053.0,231004758.0,11053.0
85,2014-05-26,344890868.0,11082.0,274707572.0,11082.0
86,2014-05-27,299049555.0,11084.0,321965845.0,11084.0
87,2014-05-28,276134813.0,11081.0,415891684.0,11081.0
88,2014-05-29,320549863.0,11093.0,313827800.0,11093.0
89,2014-05-30,186685685.0,11105.0,227832121.0,11105.0
90,2014-06-01,183489775.0,11116.0,149829253.0,11116.0
91,2014-06-02,158219402.0,11141.0,170409506.0,11141.0
92,2014-06-03,270887462.0,11180.0,385622582.0,11180.0
93,2014-06-04,274460744.0,11178.0,303978838.0,11178.0
94,2014-06-05,380042567.0,11221.0,355645445.0,11221.0
95,2014-06-06,301413900.0,11234.0,274862067.0,11234.0
96,2014-06-07,187801995.0,11237.0,146203577.0,11237.0
97,2014-06-08,302171269.0,11241.0,169525332.0,11241.0
98,2014-06-09,366114374.0,11292.0,287520152.0,11292.0
99,2014-06-10,354031597.0,11299.0,298190025.0,11299.0
100,2014-06-11,327661453.0,11333.0,246127540.0,11333.0
101,2014-06-12,332365185.0,11349.0,236467885.0,11349.0
102,2014-06-13,216923770.0,11379.0,386799040.0,11379.0
103,2014-06-14,181574530.0,11390.0,229916191.0,11390.0
104,2014-06-15,166080126.0,11407.0,116623756.0,11407.0
105,2014-06-16,387308484.0,11433.0,492349489.0,11433.0
106,2014-06-17,270350693.0,11451.0,502560223.0,11451.0
107,2014-06-18,335262709.0,11487.0,421920230.0,11487.0
108,2014-06-19,338609087.0,11497.0,284956260.0,11497.0
109,2014-06-20,251582530.0,11502.0,286583065.0,11502.0
110,2014-06-21,177999186.0,11528.0,231003775.0,11528.0
111,2014-06-22,147180819.0,11541.0,361285652.0,11541.0
112,2014-06-23,232227670.0,11562.0,373779624.0,11562.0
113,2014-06-24,245450766.0,11577.0,428471509.0,11577.0
114,2014-06-25,264663201.0,11594.0,547295931.0,11594.0
115,2014-06-26,297628039.0,11622.0,418742109.0,11622.0
116,2014-06-27,264282703.0,11616.0,399444352.0,11616.0
117,2014-06-28,153826161.0,11630.0,283400236.0,11630.0
118,2014-06-29,158801540.0,11627.0,261170799.0,11627.0
119,2014-06-30,334054112.0,11682.0,456547794.0,11682.0
120,2014-07-01,384428753.0,11718.0,374164541.0,11718.0
121,2014-07-02,384555819.0,11716.0,328950951.0,11716.0
122,2014-07-03,297894643.0,11734.0,289009780.0,11734.0
123,2014-07-04,211649838.0,11718.0,264494550.0,11718.0
124,2014-07-05,169383796.0,11736.0,272535138.0,11736.0
125,2014-07-06,199569025.0,11734.0,195530758.0,11734.0
126,2014-07-07,272182847.0,11770.0,317612569.0,11770.0
127,2014-07-08,224240103.0,11771.0,340453063.0,11771.0
128,2014-07-09,278005555.0,11772.0,269642881.0,11772.0
129,2014-07-10,283095921.0,11782.0,326009240.0,11782.0
130,2014-07-11,208671021.0,11804.0,240050748.0,11804.0
131,2014-07-12,177644343.0,11823.0,149081488.0,11823.0
132,2014-07-13,179759885.0,11871.0,199459990.0,11871.0
133,2014-07-14,254797524.0,11902.0,284753279.0,11902.0
134,2014-07-15,334810012.0,11901.0,261722182.0,11901.0
135,2014-07-16,394890140.0,11916.0,234775948.0,11916.0
136,2014-07-17,253011280.0,11915.0,298279385.0,11915.0
137,2014-07-18,208959595.0,11924.0,208671287.0,11924.0
138,2014-07-19,210318023.0,11940.0,155464283.0,11940.0
139,2014-07-20,176449304.0,11961.0,174462836.0,11961.0
140,2014-07-21,378088594.0,11987.0,434191479.0,11987.0
141,2014-07-22,243084133.0,12020.0,369043423.0,12020.0
142,2014-07-23,265461894.0,12017.0,308353077.0,12017.0
143,2014-07-24,277044480.0,12030.0,347622431.0,12030.0
144,2014-07-25,181641088.0,12009.0,262874791.0,12009.0
145,2014-07-26,128268053.0,12028.0,282653341.0,12028.0
146,2014-07-27,151406251.0,12040.0,166610652.0,12040.0
147,2014-07-28,371762756.0,12083.0,345986909.0,12083.0
148,2014-07-29,228093046.0,12073.0,303480103.0,12073.0
149,2014-07-30,200823094.0,12095.0,263656047.5,12095.0
150,2014-08-01,374884735.0,12111.0,252540858.0,12111.0
151,2014-08-02,189092130.0,12103.0,172250225.0,12103.0
152,2014-08-03,173825397.0,12136.0,127125217.0,12136.0
153,2014-08-04,330640884.0,12157.0,322907524.0,12157.0
154,2014-08-05,394780870.0,12174.0,221706539.0,12174.0
155,2014-08-06,288821016.0,12189.0,282346594.0,12189.0
156,2014-08-07,247646474.0,12204.0,253659514.0,12204.0
157,2014-08-08,233903717.0,12195.0,311648757.0,12195.0
158,2014-08-09,160262764.0,12225.0,163611708.0,12225.0
159,2014-08-10,259534870.0,12227.0,189909225.0,12227.0
160,2014-08-11,331550471.0,12266.0,418603336.0,12266.0
161,2014-08-12,258493673.0,12307.0,309754858.0,12307.0
162,2014-08-13,261506619.0,12314.0,303975517.0,12314.0
163,2014-08-14,257702660.0,12301.0,211939431.0,12301.0
164,2014-08-15,244551620.0,12316.0,236516007.0,12316.0
165,2014-08-16,215059736.0,12346.0,219214339.0,12346.0
166,2014-08-17,149978271.0,12370.0,139564084.0,12370.0
167,2014-08-18,298499146.0,12401.0,259169016.0,12401.0
168,2014-08-19,266401973.0,12411.0,254929877.0,12411.0
169,2014-08-20,308378692.0,12436.0,202452782.0,12436.0
170,2014-08-21,251763517.0,12436.0,219963356.0,12436.0
171,2014-08-22,246316056.0,12446.0,179349206.0,12446.0
172,2014-08-23,141412027.0,12459.0,199377531.0,12459.0
173,2014-08-24,130195484.0,12471.0,191080151.0,12471.0
174,2014-08-25,309574223.0,12508.0,312413411.0,12508.0
175,2014-08-26,306945089.0,12517.0,285478563.0,12517.0
176,2014-08-27,302194801.0,12527.0,468164147.0,12527.0
177,2014-08-28,245082751.0,12557.0,297893861.0,12557.0
178,2014-08-29,267554713.0,12596.0,273756380.0,12596.0
179,2014-08-30,237399492.5,12608.5,244658583.5,12608.5
